pubchem,metabs_sorted
Metab__9700,35
Metab__53481409,35
Metab__5353269,35
Metab__5283205,35
Metab__122347,34
Metab__1005,34
Metab__5497181,34
Metab__760,34
Metab__lpchol_hs,34
Metab__387316,34
Metab__3893,34
Metab__6021,34
Metab__1176,34
Metab__222528,34
Metab__5281116,34
Metab__5280733,34
Metab__68344,34
Metab__115116,34
Metab__fvs,34
Metab__lstn,34
Metab__85782,33
Metab__13712,33
Metab__757,33
Metab__mi1p_D,33
Metab__644350,33
Metab__gm1_hs,33
Metab__5810,33
Metab__5280877,33
Metab__atvlac,33
Metab__296,32
Metab__736172,32
Metab__53477825,32
Metab__53477833,32
Metab__c226crn,32
Metab__clpndcrn,32
Metab__dcsptn1crn,32
Metab__dhcrm_hs,32
Metab__eicostetcrn,32
Metab__13783824,32
Metab__5757,32
Metab__53477803,32
Metab__10991489,32
Metab__53477721,32
Metab__5282411,32
Metab__ptdcacrn,32
Metab__22833602,32
Metab__8215,32
Metab__3dhcdchol,32
Metab__3dhchol,32
Metab__ibup_S,32
Metab__20057332,31
Metab__892,31
Metab__8582,31
Metab__peplys,31
Metab__1175,31
Metab__galside_hs,31
Metab__729,31
Metab__53477906,31
Metab__M03047,31
Metab__M02112,31
Metab__12dhchol,31
Metab__7dhcdchol,31
Metab__7dhchol,31
Metab__coprost,31
Metab__icdchol,31
Metab__isochol,31
Metab__uchol,31
Metab__pvs,31
Metab__smv,31
Metab__187,30
Metab__12306765,30
Metab__10467,30
Metab__107738,30
Metab__45266564,30
Metab__5281877,30
Metab__25246198,30
Metab__mi14p,30
Metab__439183,30
Metab__M02976,30
Metab__M02102,30
Metab__M02103,30
Metab__M02638,30
Metab__M02611,30
Metab__M01776,30
Metab__M01777,30
Metab__M01775,30
Metab__M00122,30
Metab__M00100,30
Metab__M02051,30
Metab__M01727,30
Metab__M01726,30
Metab__M00011,30
Metab__M00342,30
Metab__M00261,30
Metab__M01770,30
Metab__M00022,30
Metab__M00263,30
Metab__Ntmelys,30
Metab__3dhdchol,30
Metab__3dhlchol,30
Metab__17396508,30
Metab__1738,29
Metab__49,29
Metab__47,29
Metab__54670067,29
Metab__53477850,29
Metab__Ser_Gly_Ala_X_Gly,29
Metab__53477678,29
Metab__999,29
Metab__HC02220,29
Metab__2hatvacid,29
Metab__ptvst,29
Metab__440729,28
Metab__169691,28
Metab__Tn_antigen,28
Metab__65063,28
Metab__10465,28
Metab__i,28
Metab__5283078,28
Metab__13849,28
Metab__5353956,28
Metab__11005,28
Metab__998,28
Metab__3081402,28
Metab__CE2433,28
Metab__961,28
Metab__3hpvs,28
Metab__gbside_hs,27
Metab__5280383,27
Metab__439456,27
Metab__997,27
Metab__gd1a_hs,27
Metab__HC10784,27
Metab__3ispvs,27
Metab__4hatvacid,27
Metab__5497182,26
Metab__159656,26
Metab__187790,26
Metab__11722594,26
Metab__10469,26
Metab__5282457,26
Metab__5280723,26
Metab__52921801,26
Metab__152972,26
Metab__161166,26
Metab__5610,26
Metab__53477679,26
Metab__439829,26
Metab__13489094,26
Metab__439606,26
Metab__53480665,26
Metab__HC02060,26
Metab__M02446,26
Metab__M02447,26
Metab__M02449,26
Metab__glz,26
Metab__4hatvlac,26
Metab__702,25
Metab__15942889,25
Metab__11953854,25
Metab__53477806,25
Metab__gd3_hs,25
Metab__439213,25
Metab__439194,25
Metab__5280771,25
Metab__HC02070,25
Metab__M02155,25
Metab__rsv,25
Metab__439234,24
Metab__acgpail_hs,24
Metab__dmnoncrn,24
Metab__1015,24
Metab__ps_hs,24
Metab__53481586,24
Metab__14505435,24
Metab__gm3_hs,24
Metab__222865,24
Metab__867,24
Metab__22069,24
Metab__41063,24
Metab__HC02217,24
Metab__pchol2linl_hs,24
Metab__pchol2ole_hs,24
Metab__pchol2ste_hs,24
Metab__pcholar_hs,24
Metab__pcholdoc_hs,24
Metab__pcholeic_hs,24
Metab__pcholet_hs,24
Metab__24779463,24
Metab__pchollinl_hs,24
Metab__53480465,24
Metab__pcholn15_hs,24
Metab__pcholn183_hs,24
Metab__pcholn1836_hs,24
Metab__pcholn19_hs,24
Metab__pcholn201_hs,24
Metab__pcholn203_hs,24
Metab__53480469,24
Metab__pcholn205_hs,24
Metab__pcholn224_hs,24
Metab__pcholn225_hs,24
Metab__pcholn2254_hs,24
Metab__pcholn226_hs,24
Metab__24779481,24
Metab__16081932,24
Metab__pcholpalm_hs,24
Metab__pcholpalme_hs,24
Metab__497299,24
Metab__CE5253,24
Metab__2hatvlac,24
Metab__tmd,24
Metab__1030,23
Metab__247,23
Metab__586,23
Metab__13730,23
Metab__210328,23
Metab__98792,23
Metab__146302,23
Metab__5280749,23
Metab__123929,23
Metab__756,23
Metab__65728,23
Metab__988,23
Metab__trdox,23
Metab__440101,23
Metab__trdrd,23
Metab__24883423,23
Metab__53477716,23
Metab__21252281,23
Metab__CE2432,23
Metab__5280893,23
Metab__hdca6g,23
Metab__lca24g,23
Metab__crvs,23
Metab__ibup_R,23
Metab__lstnm7,23
Metab__lvst,23
Metab__91528,22
Metab__151276,22
Metab__10635,22
Metab__180,22
Metab__1084,22
Metab__1045,22
Metab__972,22
Metab__HC02195,22
Metab__HC02196,22
Metab__5280937,22
Metab__252,22
Metab__53481428,22
Metab__CE2417,22
Metab__53481423,22
Metab__CE4855,22
Metab__pe12_hs,22
Metab__pe15_hs,22
Metab__172313,22
Metab__547,21
Metab__439423,21
Metab__12599,21
Metab__71080,21
Metab__83887,21
Metab__657311,21
Metab__mercppyr,21
Metab__22833540,21
Metab__9860744,21
